,Accuracy,Algorithem,Precision,Recall,Specificty,_TestFold
0,0.8089887640449438,SVM(linear),0.7424242424242424,0.7424242424242424,0.8482142857142857,0.0
1,0.8033707865168539,LinearSVC,0.7627118644067796,0.6818181818181818,0.875,0.0
2,0.6292134831460674,SVM(RBF),1.0,0.0,1.0,0.0
3,0.8089887640449438,"SVM(poly, degree=2)",0.7580645161290323,0.7121212121212122,0.8660714285714286,0.0
4,0.6292134831460674,SVM(sigmoid),1.0,0.0,1.0,0.0
5,0.7359550561797753,SVM(linear),0.7313432835820896,0.6282051282051282,0.82,1.0
6,0.6629213483146067,LinearSVC,0.725,0.3717948717948718,0.89,1.0
7,0.5617977528089888,SVM(RBF),1.0,0.0,1.0,1.0
8,0.7359550561797753,"SVM(poly, degree=2)",0.7384615384615385,0.6153846153846154,0.83,1.0
9,0.5617977528089888,SVM(sigmoid),1.0,0.0,1.0,1.0
10,0.8033707865168539,SVM(linear),0.7931034482758621,0.6666666666666666,0.8899082568807339,2.0
11,0.7696629213483146,LinearSVC,0.78,0.5652173913043478,0.8990825688073395,2.0
12,0.6123595505617978,SVM(RBF),1.0,0.0,1.0,2.0
13,0.7696629213483146,"SVM(poly, degree=2)",0.6944444444444444,0.7246376811594203,0.7981651376146789,2.0
14,0.6123595505617978,SVM(sigmoid),1.0,0.0,1.0,2.0
15,0.797752808988764,SVM(linear),0.8245614035087719,0.6438356164383562,0.9047619047619048,3.0
16,0.7528089887640449,LinearSVC,0.7843137254901961,0.547945205479452,0.8952380952380953,3.0
17,0.5955056179775281,SVM(RBF),1.0,0.0136986301369863,1.0,3.0
18,0.7247191011235955,"SVM(poly, degree=2)",0.6714285714285714,0.6438356164383562,0.780952380952381,3.0
19,0.5898876404494382,SVM(sigmoid),1.0,0.0,1.0,3.0
20,0.8033707865168539,SVM(linear),0.6721311475409836,0.7321428571428571,0.8360655737704918,4.0
21,0.47191011235955055,LinearSVC,0.36428571428571427,0.9107142857142857,0.27049180327868855,4.0
22,0.6853932584269663,SVM(RBF),1.0,0.0,1.0,4.0
23,0.7640449438202247,"SVM(poly, degree=2)",0.6060606060606061,0.7142857142857143,0.7868852459016393,4.0
24,0.6853932584269663,SVM(sigmoid),1.0,0.0,1.0,4.0
